Id,SalePrice
1461,128406.77748
1462,164919.26464
1463,174146.30395
1464,204084.34193
1465,210577.11981
1466,170806.56197
1467,178643.63808
1468,160387.96649
1469,200504.73212
1470,120287.76927
1471,206629.27819
1472,100392.60547
1473,97834.109751
1474,156837.34343
1475,117388.30413
1476,352271.56244
1477,232251.55494
1478,297136.0227
1479,279514.09471
1480,476126.2761
1481,314775.18388
1482,215093.40534
1483,163571.64097
1484,169721.19826
1485,196646.56861
1486,200657.93376
1487,301258.13873
1488,212399.43435
1489,178930.30104
1490,215215.05568
1491,196271.746
1492,90356.95348
1493,183482.43038
1494,296910.63842
1495,295903.02605
1496,228966.50867
1497,183601.22775
1498,183064.98281
1499,183383.09872
1500,171339.74307
1501,174650.65424
1502,168876.61726
1503,269433.87607
1504,259631.52518
1505,230583.18916
1506,174057.42687
1507,248001.20031
1508,195178.32225
1509,156392.26405
1510,146347.20873
1511,144713.98678
1512,167088.03369
1513,159913.45382
1514,156613.08971
1515,168189.18448
1516,150511.32206
1517,172245.03111
1518,138151.87893
1519,224777.03077
1520,129232.51048
1521,138327.45103
1522,171669.68951
1523,104211.80161
1524,111948.73385
1525,119795.50275
1526,119554.99321
1527,99707.816617
1528,135170.0736
1529,138630.47343
1530,180922.19758
1531,116506.53895
1532,102384.87735
1533,132571.08064
1534,113960.15728
1535,153110.33991
1536,106696.90067
1537,73006.335336
1538,139254.91999
1539,189578.43389
1540,121222.70872
1541,139667.05387
1542,155167.08137
1543,161444.14411
1544,86692.817636
1545,128834.44158
1546,157254.38078
1547,146664.33799
1548,143855.96395
1549,131009.0739
1550,145516.07159
1551,126542.30362
1552,135757.19366
1553,132815.69823
1554,114562.90522
1555,178132.3101
1556,212565.4286
1557,104038.84845
1558,105416.0588
1559,92459.915111
1560,150799.92309
1561,115912.5323
1562,125157.8257
1563,127190.95837
1564,157826.48094
1565,156439.22384
1566,231474.35108
1567,77137.39149
1568,238537.71286
1569,120455.57677
1570,137841.83453
1571,120966.22254
1572,128735.70453
1573,224895.81626
1574,130731.31102
1575,237222.45181
1576,242598.53618
1577,175305.82983
1578,126510.91523
1579,143097.56676
1580,200065.9667
1581,134121.81982
1582,122544.59597
1583,291061.1314
1584,230346.75053
1585,153607.8409
1586,61727.278382
1587,108627.9097
1588,144304.41869
1589,91477.636611
1590,131324.25703
1591,90826.484648
1592,103012.12977
1593,113358.73332
1594,128402.25461
1595,128120.81955
1596,223122.77248
1597,209463.13363
1598,229277.1172
1599,189631.01591
1600,170283.1669
1601,70733.228273
1602,121340.24323
1603,81747.267895
1604,299663.29341
1605,245533.66083
1606,168064.21506
1607,173454.70476
1608,191936.567
1609,169133.03378
1610,142471.14488
1611,127388.30515
1612,153829.53591
1613,155412.45643
1614,116906.7472
1615,85551.412083
1616,79512.494168
1617,85030.350138
1618,119839.16858
1619,127374.23826
1620,183209.37789
1621,139837.1198
1622,142273.55507
1623,263021.56375
1624,231312.397
1625,131297.82805
